year,local_avg_temp,global_avg_temp,berlin_avg_temp,ham_avg_temp,Belin,Hamburg,Munich,Global
1750,5.4,8.72,9.83,9.31,,,,
1751,5.54,7.98,9.75,8.94,,,,
1752,0.53,5.78,4.84,4.65,,,,
1753,4.61,8.39,8.72,8.12,,,,
1754,4.33,8.47,8.49,7.88,,,,
1755,4.05,8.36,8.26,7.69,,,,
1756,4.64,8.85,9.62,8.64,,,,
1757,4.3,9.02,9.15,8.48,,,,
1758,3.83,6.74,8.25,7.76,,,,
1759,4.89,7.99,9.04,8.69,8.595,8.016,4.21,8.03
1760,5.02,7.19,8.99,8.36,8.511,7.921,4.17,7.88
1761,4.94,8.77,9.47,8.86,8.483,7.913,4.11,7.96
1762,4.49,8.61,8.53,7.81,8.852,8.229,4.51,8.24
1763,4.25,7.5,8.62,7.8,8.842,8.197,4.47,8.15
1764,4.82,8.4,8.91,8.25,8.884,8.234,4.52,8.14
1765,4.52,8.25,8.54,7.91,8.912,8.256,4.57,8.13
1766,4.28,8.41,8.87,8.27,8.837,8.219,4.53,8.09
1767,3.85,8.22,8.14,7.59,8.736,8.13,4.49,8.01
1768,3.84,6.78,8.03,7.64,8.714,8.118,4.49,8.01
1769,4.43,7.69,8.46,7.97,8.656,8.046,4.44,7.98
1770,4.36,7.69,8.5,7.98,8.607,8.008,4.38,8.03
1771,4.19,7.85,7.45,7.1,8.405,7.832,4.30,7.94
1772,5.81,8.19,9.13,8.26,8.465,7.877,4.44,7.90
1773,4.76,8.22,9.52,8.94,8.555,7.991,4.49,7.97
1774,4.43,8.77,8.46,7.76,8.51,7.942,4.45,8.01
1775,5.03,9.18,10.1,9.27,8.666,8.078,4.50,8.10
1776,4.21,8.3,8.36,8,8.615,8.051,4.49,8.09
1777,4.28,8.26,8.29,7.79,8.63,8.071,4.53,8.09
1778,5.21,8.54,9.43,8.68,8.77,8.175,4.67,8.27
1779,5.53,8.98,10.47,9.91,8.971,8.369,4.78,8.40
1780,4.71,9.43,8.78,8.27,8.999,8.398,4.82,8.57
1781,5.48,8.1,9.98,9.32,9.252,8.62,4.95,8.60
1782,3.96,7.9,8.61,7.67,9.2,8.561,4.76,8.57
